name,company,year,selling_price,km_driven,fuel,transmission,owner
Mercedes-Benz E-Class E250 CDI,Mercedes-Benz,2016,3000000,40000,Diesel,Automatic,First Owner
Toyota Fortuner 4x2 4,Toyota,2012,1225000,160000,Diesel,Automatic,First Owner
Mahindra KUV 100 G80,Mahindra,2018,340000,51492,Petrol,Manual,First Owner
Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,72000,Diesel,Manual,Second Owner
Ford Figo 1.2P Titanium,Ford,2016,370000,60000,Petrol,Manual,First Owner
Mahindra Bolero 2011-2019 SLE,Mahindra,2013,330000,136000,Diesel,Manual,Second Owner
Hyundai Santro Xing GLS,Hyundai,2014,238000,60000,Petrol,Manual,First Owner
Hyundai Santro Xing XG,Hyundai,2006,72000,110000,Petrol,Manual,Second Owner
Hyundai Santro Xing GLS,Hyundai,2013,200000,90000,Petrol,Manual,First Owner
Nissan Sunny Diesel XV,Nissan,2014,320000,91000,Diesel,Manual,Fourth & Above Owner
Hyundai Santro Xing GL,Hyundai,2009,114999,90000,Petrol,Manual,Fourth & Above Owner
Maruti Wagon R LXI,Maruti,2015,320000,50000,Petrol,Manual,Second Owner
Hyundai i10 Era,Hyundai,2010,210000,20000,Petrol,Manual,First Owner
Mahindra Xylo D2 BS,Mahindra,2011,200000,120000,Diesel,Manual,First Owner
Maruti Wagon R LXI,Maruti,2009,135000,150000,Petrol,Manual,Second Owner
Tata Indigo CS LS,Tata,2015,350000,52000,Diesel,Manual,First Owner
Mahindra Bolero 2011-2019 DI,Mahindra,2014,350000,167000,Diesel,Manual,Second Owner
Maruti Swift Dzire VDI,Maruti,2017,680000,40000,Diesel,Manual,First Owner
Maruti Swift Vdi BSIII,Maruti,2010,200000,190000,Diesel,Manual,Second Owner
Renault KWID 1.0 RXT,Renault,2016,300000,50000,Petrol,Manual,First Owner
Mahindra Xylo E6,Mahindra,2011,270000,70000,Diesel,Manual,Second Owner
Maruti Wagon R LXI,Maruti,2012,225000,80000,Petrol,Manual,Second Owner
Mahindra Bolero DI DX,Mahindra,2008,250000,120000,Diesel,Manual,First Owner
Mahindra TUV 300 T8,Mahindra,2015,590000,40000,Diesel,Manual,Second Owner
Hyundai EON Era Plus,Hyundai,2015,290000,17000,Petrol,Manual,First Owner
Maruti Zen Estilo LXI,Maruti,2010,100000,180000,Petrol,Manual,Second Owner
Maruti Celerio VXI,Maruti,2016,395000,50000,Petrol,Manual,First Owner
Hyundai EON Era Plus,Hyundai,2014,195000,65000,Petrol,Manual,Second Owner
Tata Nano Cx,Tata,2011,45000,10000,Petrol,Manual,Third Owner
Mahindra Bolero DI DX,Mahindra,2009,270000,70000,Diesel,Manual,Second Owner
Chevrolet Tavera Neo 3,Chevrolet,2014,600000,90000,Diesel,Manual,Second Owner
Hyundai i20 Asta 1.4,Hyundai,2015,715000,50000,Diesel,Manual,First Owner
Hyundai Elite i20 Magna,Hyundai,2019,600000,10000,Petrol,Manual,First Owner
Mahindra TUV 300 T6,Mahindra,2019,875000,25000,Diesel,Manual,First Owner
Mahindra Scorpio M2DI,Mahindra,2011,420000,100000,Diesel,Manual,Second Owner
Honda CR-V 2.4 4WD,Honda,2007,325000,70000,Petrol,Automatic,Second Owner
Datsun GO Anniversary Edition,Datsun,2017,385000,30000,Petrol,Manual,First Owner
Mahindra KUV 100 mFALCON,Mahindra,2016,300000,40000,Petrol,Manual,First Owner
Hyundai i20 Sportz 1.4,Hyundai,2012,335000,135000,Diesel,Manual,First Owner
Maruti Celerio LXI,Maruti,2014,300000,35000,Petrol,Manual,First Owner
Hyundai Accent GLE,Hyundai,2004,80000,120000,Petrol,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,Mahindra,2012,400000,120000,Diesel,Manual,First Owner
Tata Indigo CS LS,Tata,2012,168000,190000,Diesel,Manual,Second Owner
Mahindra Bolero 2011-2019 Plus,Mahindra,2016,550000,120000,Diesel,Manual,First Owner
Toyota Etios GD,Toyota,2012,300000,120000,Diesel,Manual,Second Owner
Mahindra Bolero PLUS AC,Mahindra,2011,320000,175000,Diesel,Manual,Third Owner
Mahindra Bolero 2011-2019 Plus,Mahindra,2011,320000,175000,Diesel,Manual,Third Owner
Nissan Sunny XE,Nissan,2011,350000,25000,Petrol,Manual,Second Owner
Tata Manza Club Class,Tata,2013,280000,80000,Diesel,Manual,First Owner
Hyundai Xcent 1.1 CRDi,Hyundai,2017,550000,70000,Diesel,Manual,Second Owner
Hyundai Xcent 1.2 VTVT,Hyundai,2018,500000,10000,Petrol,Manual,First Owner
Ford Freestyle Titanium Plus,Ford,2019,700000,6000,Petrol,Manual,First Owner
Skoda Rapid Ultima 1.6,Skoda,2013,380000,90000,Diesel,Manual,Second Owner
Mahindra Bolero 2011-2019 Plus,Mahindra,2012,340000,110000,Diesel,Manual,Second Owner
Mahindra Bolero 2011-2019 Plus-AC,Mahindra,2007,160000,120000,Diesel,Manual,Third Owner
Toyota Innova 2.5 G,Toyota,2014,750000,50000,Diesel,Manual,First Owner
Hyundai Grand i10 1.2,Hyundai,2018,531000,20000,Petrol,Automatic,First Owner
Renault KWID 1.0 RXT,Renault,2017,300000,35000,Petrol,Manual,First Owner
Volkswagen Polo 1.5 TDI,Volkswagen,2014,350000,60000,Diesel,Manual,Second Owner
Chevrolet Beat LT,Chevrolet,2010,150000,68000,Petrol,Manual,Fourth & Above Owner
Maruti Swift VXI Optional,Maruti,2015,450000,30000,Petrol,Manual,First Owner
Mahindra XUV500 W10 2WD,Mahindra,2017,1625000,54000,Diesel,Manual,First Owner
Maruti Swift 1.3 VXi,Maruti,2006,140000,65000,Petrol,Manual,Third Owner
Mahindra Bolero GLX,Mahindra,2004,250000,80000,Diesel,Manual,Third Owner
Tata Indica V2 DLX,Tata,2006,85000,120000,Diesel,Manual,Third Owner
Hyundai Grand i10 1.2,Hyundai,2018,450000,30000,Petrol,Manual,First Owner
Maruti Zen Estilo VXI,Maruti,2011,170000,55113,Petrol,Manual,First Owner
Tata Tiago 1.05 Revotorq,Tata,2017,360000,50000,Diesel,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2020,390000,6000,Petrol,Manual,First Owner
Maruti Eeco 7 Seater,Maruti,2011,145000,50000,Petrol,Manual,Second Owner
Mahindra Scorpio VLX 2WD,Mahindra,2012,540000,90000,Diesel,Manual,Third Owner
Toyota Innova 2.5 E,Toyota,2008,290000,126000,Diesel,Manual,Third Owner
Tata Indigo eCS VX,Tata,2013,300000,90000,Diesel,Manual,First Owner
Ford Figo Aspire 1.2,Ford,2017,565000,80000,Petrol,Manual,First Owner
Mahindra Scorpio 2.6 CRDe,Mahindra,2011,441000,70000,Diesel,Manual,Second Owner
Hyundai Santro Xing XP,Hyundai,2003,50000,80000,Petrol,Manual,Second Owner
Hyundai EON Era Plus,Hyundai,2011,180000,80000,Petrol,Manual,Second Owner
Hyundai EON D Lite,Hyundai,2013,200000,80000,Petrol,Manual,Second Owner
Maruti Alto LX,Maruti,2005,85000,150000,Petrol,Manual,Second Owner
Tata Indica V2 DL,Tata,2006,67500,110000,Diesel,Manual,Fourth & Above Owner
Maruti Vitara Brezza ZDi,Maruti,2016,700000,110000,Diesel,Manual,Second Owner
Volkswagen Polo Diesel Highline,Volkswagen,2010,275000,80000,Diesel,Manual,Fourth & Above Owner
Hyundai Grand i10 1.2,Hyundai,2019,600000,20000,Petrol,Manual,First Owner
Mahindra Xylo D2,Mahindra,2011,250000,120000,Diesel,Manual,First Owner
Mahindra Bolero 2011-2019 DI,Mahindra,2016,600000,120000,Diesel,Manual,First Owner
Fiat Linea 1.3 Active,Fiat,2010,200000,80000,Diesel,Manual,Second Owner
Hyundai Grand i10 CRDi,Hyundai,2015,425000,91500,Diesel,Manual,Second Owner
Maruti Swift Dzire VDi,Maruti,2012,420000,120000,Diesel,Manual,Second Owner
Hyundai i20 1.4 CRDi,Hyundai,2012,321000,100000,Diesel,Manual,Second Owner
Mahindra Xylo D4 BSIV,Mahindra,2012,350000,120000,Diesel,Manual,Fourth & Above Owner
Honda Amaze i-VTEC Privilege,Honda,2017,490000,80000,Petrol,Manual,First Owner
Mahindra Scorpio S2 7,Mahindra,2015,680000,90000,Diesel,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2016,298000,70000,Petrol,Manual,First Owner
Hyundai Santro GLS I,Hyundai,1999,80000,110000,Petrol,Manual,Second Owner
Mahindra Scorpio M2DI,Mahindra,2011,450000,150000,Diesel,Manual,Fourth & Above Owner
Skoda Superb 1.8 TSI,Skoda,2010,400000,60000,Petrol,Automatic,Second Owner
Tata Indica Vista Quadrajet,Tata,2012,250000,40000,Diesel,Manual,First Owner
Ford Endeavour Hurricane Limited,Ford,2013,1075000,110000,Diesel,Automatic,Third Owner
Hyundai Grand i10 Sportz,Hyundai,2017,500000,20000,Petrol,Manual,First Owner
Ford Freestyle Trend Petrol,Ford,2019,681000,10000,Petrol,Manual,First Owner
Mahindra XUV500 W8 2WD,Mahindra,2014,650000,90000,Diesel,Manual,Second Owner
Chevrolet Aveo U-VA 1.2,Chevrolet,2008,80000,70000,Petrol,Manual,Second Owner
Mahindra Bolero SLX 2WD,Mahindra,2009,290000,120000,Diesel,Manual,First Owner
Mahindra Scorpio 2.6 SPORTZ,Mahindra,2006,220000,120000,Diesel,Manual,Second Owner
Hyundai Santro Xing GL,Hyundai,2009,120000,90000,Petrol,Manual,Second Owner
Datsun RediGO Sport,Datsun,2017,229999,80000,Petrol,Manual,First Owner
Mahindra Bolero ZLX BSIII,Mahindra,2003,150000,132478,Diesel,Manual,Second Owner
Maruti Swift Dzire VXI,Maruti,2014,500000,45000,Petrol,Manual,First Owner
Tata Indigo CS LS,Tata,2013,175000,120000,Diesel,Manual,First Owner
Ford Freestyle Titanium Petrol,Ford,2019,720000,10000,Petrol,Manual,First Owner
Maruti 800 AC,Maruti,2012,100000,51000,Petrol,Manual,First Owner
Honda Civic 1.8 V,Honda,2009,250000,105000,Petrol,Automatic,Second Owner
Mahindra XUV500 W6 2WD,Mahindra,2014,810000,100000,Diesel,Manual,First Owner
Maruti Alto LXi,Maruti,2010,165000,30000,Petrol,Manual,Third Owner
Chevrolet Tavera Neo 3,Chevrolet,2016,409999,60000,Diesel,Manual,Second Owner
Maruti Swift VDI,Maruti,2013,430000,86000,Diesel,Manual,Second Owner
Datsun GO Plus D1,Datsun,2015,300000,15000,Petrol,Manual,First Owner
Maruti Swift Dzire VDi,Maruti,2011,350000,137500,Diesel,Manual,Third Owner
Renault KWID 1.0 RXT,Renault,2018,400000,60000,Petrol,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi,Chevrolet,2016,420000,70000,Diesel,Manual,First Owner
Maruti Wagon R VXI,Maruti,2015,430000,5000,Petrol,Manual,First Owner
Maruti Swift VXI Optional,Maruti,2017,573000,30000,Petrol,Manual,First Owner
Hyundai EON D Lite,Hyundai,2015,210000,40000,Petrol,Manual,First Owner
Renault Duster 110PS Diesel,Renault,2015,600000,60000,Diesel,Manual,First Owner
Honda City 2017-2020 GXi,Honda,2008,150000,70000,Petrol,Manual,Third Owner
Tata Tigor 1.2 Revotron,Tata,2019,550000,15000,Petrol,Manual,First Owner
Maruti Swift Dzire ZDi,Maruti,2011,320000,110000,Diesel,Manual,Second Owner
Maruti 800 AC,Maruti,2000,80000,70000,Petrol,Manual,Fourth & Above Owner
Honda Amaze VX Diesel,Honda,2019,800000,10000,Diesel,Manual,First Owner
Maruti Ertiga ZXI,Maruti,2013,500000,60000,Petrol,Manual,First Owner
Tata Manza Aura Quadrajet,Tata,2011,229999,110000,Diesel,Manual,Second Owner
Maruti Ertiga ZXI,Maruti,2013,500000,60000,Petrol,Manual,First Owner
Hyundai i20 Asta 1.2,Hyundai,2015,630000,35000,Petrol,Manual,First Owner
Maruti Omni E MPI,Maruti,2016,190000,70000,Petrol,Manual,Second Owner
Tata Manza Aura Quadrajet,Tata,2011,229999,110000,Diesel,Manual,Second Owner
Mahindra Bolero VLX CRDe,Mahindra,2011,450000,100000,Diesel,Manual,Second Owner
Maruti Alto Std,Maruti,2008,95000,120000,Petrol,Manual,First Owner
Maruti Omni 8 Seater,Maruti,2009,101000,90000,Petrol,Manual,Fourth & Above Owner
Honda Amaze E i-Dtech,Honda,2016,500000,70000,Diesel,Manual,Second Owner
Toyota Innova 2.5 VX,Toyota,2014,1019999,88000,Diesel,Manual,Second Owner
Hyundai EON Era Plus,Hyundai,2012,244000,38000,Petrol,Manual,First Owner
Maruti Wagon R LXI,Maruti,2013,250000,90000,Petrol,Manual,Second Owner
Maruti Baleno Alpha 1.2,Maruti,2016,660000,60000,Petrol,Manual,First Owner
Hyundai i20 Magna,Hyundai,2010,270000,60000,Petrol,Manual,First Owner
Maruti Ritz VDi,Maruti,2012,280000,156060,Diesel,Manual,First Owner
Hyundai Creta 1.6 CRDi,Hyundai,2017,1050000,60000,Diesel,Manual,First Owner
Maruti Swift Dzire VXI,Maruti,2017,525000,70000,Petrol,Manual,First Owner
Hyundai Verna 1.6 CRDi,Hyundai,2017,850000,35000,Diesel,Manual,First Owner
Mahindra XUV500 W10 1.99,Mahindra,2016,1165000,50000,Diesel,Manual,First Owner
Maruti Swift ZXI,Maruti,2012,345000,50000,Petrol,Manual,Second Owner
Hyundai Santro Xing XS,Hyundai,2007,95000,100000,Petrol,Manual,Second Owner
Maruti Alto 800 LXI,Maruti,2015,241000,15000,Petrol,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2015,235000,20000,Petrol,Manual,First Owner
Ford EcoSport 1.5 TDCi,Ford,2015,615000,80000,Diesel,Manual,First Owner
Mahindra Verito Vibe 1.5,Mahindra,2014,350000,110000,Diesel,Manual,Second Owner
Maruti Wagon R Stingray,Maruti,2014,350000,35000,Petrol,Manual,First Owner
Maruti Wagon R Stingray,Maruti,2014,380000,35000,Petrol,Manual,First Owner
Tata Sumo Gold EX,Tata,2017,400000,140000,Diesel,Manual,First Owner
Maruti Zen Estilo LXI,Maruti,2010,220000,40000,Petrol,Manual,First Owner
Tata Sumo GX,Tata,2008,270000,110000,Diesel,Manual,Third Owner
Maruti Ritz ZXi,Maruti,2012,275000,70000,Petrol,Manual,Second Owner
Tata Indica Vista Terra,Tata,2009,125000,100000,Diesel,Manual,Second Owner
Hyundai i10 Sportz 1.1L,Hyundai,2015,360000,20000,Petrol,Manual,First Owner
Hyundai Grand i10 1.2,Hyundai,2019,550000,15000,Petrol,Manual,First Owner
Ford Fiesta 1.4 ZXi,Ford,2011,200000,70000,Petrol,Manual,Second Owner
Mahindra KUV 100 mFALCON,Mahindra,2016,327000,20000,Petrol,Manual,First Owner
Hyundai i10 Sportz 1.1L,Hyundai,2016,425000,15000,Petrol,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2017,620000,107000,Diesel,Manual,First Owner
Tata Indica Vista Aqua,Tata,2011,130000,54000,Diesel,Manual,Second Owner
Maruti Alto LX,Maruti,2009,120000,58000,Petrol,Manual,First Owner
Mahindra Scorpio SLE BSIV,Mahindra,2011,400000,110000,Diesel,Manual,Second Owner
Hyundai Verna CRDi SX,Hyundai,2007,185000,90000,Diesel,Manual,Fourth & Above Owner
Hyundai EON 1.0 Kappa,Hyundai,2015,204999,43000,Petrol,Manual,Second Owner
Maruti Swift Dzire VDI,Maruti,2017,625000,43000,Diesel,Manual,First Owner
Maruti Ertiga ZDI,Maruti,2013,600000,60000,Diesel,Manual,First Owner
Tata Indigo GLX,Tata,2011,150000,150000,Petrol,Manual,First Owner
Renault KWID 1.0 RXT,Renault,2017,300000,35000,Petrol,Manual,First Owner
Chevrolet Sail Hatchback Petrol,Chevrolet,2013,229999,46000,Petrol,Manual,First Owner
Maruti Omni E MPI,Maruti,2018,220000,10000,Petrol,Manual,First Owner
Hyundai i20 Asta Option,Hyundai,2016,576000,35000,Petrol,Manual,First Owner
Renault KWID RXT,Renault,2016,265000,50000,Petrol,Manual,First Owner
Maruti Esteem Vxi -,Maruti,2005,50000,60000,Petrol,Manual,Third Owner
Hyundai Verna 1.6 VGT,Hyundai,2011,300000,80000,Diesel,Manual,First Owner
Tata Tigor 1.05 Revotorq,Tata,2017,420000,110000,Diesel,Manual,First Owner
Maruti Ertiga VDI,Maruti,2015,750000,14000,Diesel,Manual,First Owner
Maruti Alto 800 CNG,Maruti,2012,165000,60000,CNG,Manual,Second Owner
Renault KWID RXT,Renault,2017,290000,28000,Petrol,Manual,First Owner
Hyundai EON Era,Hyundai,2011,160000,57000,Petrol,Manual,First Owner
Maruti Swift Dzire ZDI,Maruti,2017,695000,50000,Diesel,Manual,First Owner
Maruti Wagon R Duo,Maruti,2012,231000,70000,LPG,Manual,First Owner
Toyota Corolla Altis D-4D,Toyota,2015,1050000,60000,Diesel,Manual,First Owner
Hyundai i20 Sportz 1.2,Hyundai,2013,400000,70000,Petrol,Manual,First Owner
Hyundai i20 2015-2017 Sportz,Hyundai,2016,500000,40000,Petrol,Manual,First Owner
Tata Manza Aqua Quadrajet,Tata,2010,150000,120000,Diesel,Manual,Second Owner
Mahindra Xylo H4,Mahindra,2016,400000,140000,Diesel,Manual,Second Owner
Tata Indigo LS,Tata,2010,120000,100000,Diesel,Manual,Second Owner
Mahindra Xylo H4,Mahindra,2014,480000,120000,Diesel,Manual,Second Owner
Tata Indigo CS LX,Tata,2013,200000,120000,Diesel,Manual,Second Owner
Ford Fiesta Classic 1.4,Ford,2012,300000,64000,Diesel,Manual,Second Owner
Maruti Celerio VXI,Maruti,2015,350000,25000,Petrol,Manual,First Owner
Renault Triber RXT BSIV,Renault,2019,580000,12000,Petrol,Manual,First Owner
Chevrolet Beat Diesel LT,Chevrolet,2012,200000,70000,Diesel,Manual,Second Owner
Mahindra Scorpio Getaway,Mahindra,2016,750000,120000,Diesel,Manual,First Owner
Renault KWID RXT,Renault,2016,261000,90000,Petrol,Manual,First Owner
Chevrolet Sail 1.2 LS,Chevrolet,2015,371000,40000,Petrol,Manual,First Owner
Mahindra Bolero DI Non,Mahindra,2010,320000,300000,Diesel,Manual,Third Owner
Tata Indigo CS LX,Tata,2012,204999,120000,Diesel,Manual,Second Owner
Hyundai Accent GLX,Hyundai,2003,110000,90000,Petrol,Manual,Second Owner
Ford Fusion 1.4 TDCi,Ford,2009,150000,100000,Diesel,Manual,Fourth & Above Owner
Mahindra Bolero 2011-2019 SLX,Mahindra,2016,625000,90000,Diesel,Manual,Second Owner
Mahindra Scorpio 1.99 S10,Mahindra,2017,1300000,50000,Diesel,Manual,Second Owner
Skoda Octavia Ambition 2.0,Skoda,2015,900000,168000,Diesel,Manual,First Owner
Ford Figo Diesel Titanium,Ford,2010,180000,110000,Diesel,Manual,Second Owner
Mahindra Bolero SLX,Mahindra,2010,421000,120000,Diesel,Manual,Second Owner
Tata Indigo CS LX,Tata,2012,204999,120000,Diesel,Manual,Second Owner
Honda WR-V i-DTEC VX,Honda,2017,900000,40000,Diesel,Manual,First Owner
Honda City 2017-2020 GXi,Honda,2006,165000,110000,Petrol,Manual,Second Owner
Hyundai i20 Magna 1.4,Hyundai,2010,270000,100000,Diesel,Manual,Fourth & Above Owner
Maruti Vitara Brezza VDi,Maruti,2017,750000,40000,Diesel,Manual,First Owner
Hyundai Elite i20 Petrol,Hyundai,2019,750000,30000,Petrol,Manual,First Owner
Maruti 800 Std,Maruti,2002,40000,80000,Petrol,Manual,Third Owner
Ford Figo Diesel Titanium,Ford,2011,190000,90000,Diesel,Manual,Second Owner
Toyota Innova 2.5 G4,Toyota,2009,395000,200000,Diesel,Manual,Third Owner
Toyota Fortuner 3.0 Diesel,Toyota,2010,800000,125000,Diesel,Manual,Second Owner
Hyundai i20 1.2 Sportz,Hyundai,2011,315000,80000,Petrol,Manual,First Owner
Audi A4 2.0 TDI,Audi,2014,1600000,44000,Diesel,Automatic,Second Owner
Toyota Etios GD,Toyota,2013,409999,90000,Diesel,Manual,First Owner
Hyundai Grand i10 1.2,Hyundai,2018,580000,32000,Petrol,Manual,First Owner
Hyundai i20 Sportz 1.2,Hyundai,2013,340000,70000,Petrol,Manual,First Owner
Hyundai EON Magna Plus,Hyundai,2015,270000,43000,Petrol,Manual,First Owner
Tata Zest Quadrajet 1.3,Tata,2017,280000,80000,Diesel,Manual,First Owner
Tata Indica Vista Quadrajet,Tata,2012,130000,60000,Diesel,Manual,First Owner
Hyundai EON Era Plus,Hyundai,2014,260000,18945,Petrol,Manual,First Owner
Hyundai Grand i10 1.2,Hyundai,2018,710000,70000,Diesel,Manual,First Owner
Maruti Eeco Smiles 7,Maruti,2013,204999,100000,Petrol,Manual,Third Owner
Datsun GO Plus Anniversary,Datsun,2017,300000,60000,Petrol,Manual,First Owner
Maruti Swift Dzire VDi,Maruti,2009,180000,144000,Diesel,Manual,Second Owner
Mahindra TUV 300 T6,Mahindra,2016,700000,120000,Diesel,Manual,First Owner
Hyundai i20 1.4 CRDi,Hyundai,2012,320000,107825,Diesel,Manual,Second Owner
Maruti Alto 800 VXI,Maruti,2020,370000,15000,Petrol,Manual,First Owner
Renault KWID RXT Optional,Renault,2018,340000,10000,Petrol,Manual,First Owner
Maruti XL6 Alpha,Maruti,2019,1040000,1620,Petrol,Manual,First Owner
Hyundai i20 Active SX,Hyundai,2018,750000,30000,Diesel,Manual,First Owner
Mahindra TUV 300 Plus,Mahindra,2018,600000,70000,Diesel,Manual,First Owner
Mahindra Bolero 2011-2019 DI,Mahindra,2016,550000,70000,Diesel,Manual,First Owner
Toyota Innova 2.5 EV,Toyota,2013,600000,95000,Diesel,Manual,Second Owner
Tata Tigor 1.05 Revotorq,Tata,2017,550000,50000,Diesel,Manual,First Owner
Honda City i DTEC,Honda,2015,750000,160000,Diesel,Manual,First Owner
Hyundai Santro Magna BSIV,Hyundai,2019,450000,10000,Petrol,Manual,First Owner
Maruti Ertiga VDI,Maruti,2012,400000,100000,Diesel,Manual,Third Owner
Maruti Swift VDI Optional,Maruti,2016,520000,50000,Diesel,Manual,Second Owner
Maruti Alto K10 Knightracer,Maruti,2013,199000,60000,Petrol,Manual,Second Owner
Chevrolet Beat Diesel LT,Chevrolet,2012,150000,110000,Diesel,Manual,First Owner
Hyundai i20 Active 1.4,Hyundai,2016,540000,80000,Diesel,Manual,Third Owner
Maruti SX4 ZDI,Maruti,2011,250000,85000,Diesel,Manual,Second Owner
Maruti Wagon R LXI,Maruti,2010,200000,90000,Petrol,Manual,Second Owner
Tata Indica V2 2001-2011,Tata,2011,130000,90000,Diesel,Manual,Second Owner
Maruti 800 AC,Maruti,2007,90000,90000,Petrol,Manual,First Owner
Hyundai Verna 1.6 SX,Hyundai,2012,450000,120000,Diesel,Manual,Second Owner
Hyundai Verna CRDi SX,Hyundai,2009,280000,120000,Diesel,Manual,First Owner
Tata New Safari 3L,Tata,2007,280000,160000,Diesel,Manual,Second Owner
Maruti Zen LXI,Maruti,2006,120000,141000,Petrol,Manual,Second Owner
Maruti Swift Ldi BSIII,Maruti,2008,290000,100000,Diesel,Manual,Second Owner
Hyundai Creta 1.4 EX,Hyundai,2019,1000000,15000,Diesel,Manual,First Owner
Maruti Swift Dzire VDi,Maruti,2012,415000,108000,Diesel,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2012,415000,108000,Diesel,Manual,First Owner
Chevrolet Beat Diesel LT,Chevrolet,2015,240000,55000,Diesel,Manual,First Owner
Tata Indica Vista Aura,Tata,2010,250000,37944,Diesel,Manual,First Owner
Ford Figo Diesel EXI,Ford,2011,175000,90400,Diesel,Manual,First Owner
Hyundai Verna CRDi SX,Hyundai,2008,220000,85000,Diesel,Manual,Second Owner
Maruti Zen D,Maruti,2003,85000,120000,Diesel,Manual,Third Owner
Maruti Swift Dzire VXI,Maruti,2019,675000,5000,Petrol,Manual,First Owner
Renault Duster 85PS Diesel,Renault,2016,535000,50000,Diesel,Manual,First Owner
Renault Triber RXZ BSIV,Renault,2019,675000,5000,Petrol,Manual,First Owner
Maruti Vitara Brezza ZDi,Maruti,2016,800000,90000,Diesel,Manual,First Owner
Maruti Ertiga ZDI,Maruti,2012,425000,96000,Diesel,Manual,Second Owner
Maruti Eeco 5 Seater,Maruti,2011,150000,80000,Petrol,Manual,Third Owner
Maruti Zen Estilo 1.1,Maruti,2007,90000,60000,Petrol,Manual,Second Owner
Mahindra XUV500 W6 2WD,Mahindra,2015,850000,90000,Diesel,Manual,First Owner
Toyota Innova 2.5 G,Toyota,2008,330000,193623,Diesel,Manual,Second Owner
Hyundai i20 1.4 Asta,Hyundai,2017,850000,63186,Diesel,Manual,First Owner
Mahindra Bolero SLX,Mahindra,2008,305000,219000,Diesel,Manual,Second Owner
Toyota Innova 2.5 VX,Toyota,2013,910000,110000,Diesel,Manual,Second Owner
Toyota Innova 2.5 VX,Toyota,2012,1100000,151000,Diesel,Manual,First Owner
Maruti Baleno Zeta Automatic,Maruti,2019,675000,5000,Petrol,Automatic,First Owner
Maruti Alto LXi BSIII,Maruti,2010,150000,91500,Petrol,Manual,First Owner
Maruti Swift VDI BSIV,Maruti,2015,550000,23000,Diesel,Manual,First Owner
Volkswagen Vento Diesel Highline,Volkswagen,2012,350000,40000,Diesel,Manual,First Owner
Maruti Ritz VDi,Maruti,2012,300000,70000,Diesel,Manual,First Owner
Toyota Innova Crysta 2.8,Toyota,2018,1745000,10000,Diesel,Automatic,First Owner
Mahindra Scorpio 2009-2014 EX,Mahindra,2014,611000,90000,Diesel,Manual,Second Owner
Honda Brio S MT,Honda,2016,400000,68000,Petrol,Manual,First Owner
Hyundai Elantra CRDi SX,Hyundai,2013,700000,120000,Diesel,Manual,First Owner
Chevrolet Sail Hatchback LS,Chevrolet,2013,300000,65000,Diesel,Manual,First Owner
Hyundai Getz GLS,Hyundai,2005,65000,85000,Petrol,Manual,First Owner
Maruti Wagon R VXI,Maruti,2011,200000,94000,Petrol,Manual,Third Owner
Hyundai i20 Asta Option,Hyundai,2015,650000,100000,Diesel,Manual,First Owner
Hyundai i20 Asta Option,Hyundai,2015,650000,80000,Diesel,Manual,First Owner
Volkswagen Polo Diesel Trendline,Volkswagen,2013,350000,80000,Diesel,Manual,Third Owner
Tata Indica V2 DL,Tata,2011,75000,140500,Diesel,Manual,Third Owner
Maruti Swift Dzire VXi,Maruti,2010,240000,143000,Petrol,Manual,First Owner
Maruti Alto K10 2010-2014,Maruti,2013,240000,60000,Petrol,Manual,First Owner
Tata Indica Vista Aura,Tata,2011,180000,120000,Diesel,Manual,Second Owner
Hyundai Santa Fe 4WD,Hyundai,2014,900000,80000,Diesel,Automatic,Second Owner
Mahindra Thar DI 4X4,Mahindra,2014,425000,63000,Diesel,Manual,Second Owner
Chevrolet Spark 1.0 LT,Chevrolet,2009,95000,120000,Petrol,Manual,Third Owner
Maruti Swift Dzire VDI,Maruti,2018,811000,100000,Diesel,Manual,First Owner
Hyundai Verna VTVT 1.6,Hyundai,2018,1100000,60000,Petrol,Manual,First Owner
Chevrolet Tavera Neo 3,Chevrolet,2013,600000,90000,Diesel,Manual,First Owner
Maruti Ertiga VDI,Maruti,2014,550000,50000,Diesel,Manual,Second Owner
Mahindra Scorpio S4 Plus,Mahindra,2015,715000,70000,Diesel,Manual,First Owner
Mahindra Xylo E8 BS4,Mahindra,2010,300000,40000,Diesel,Manual,First Owner
Tata Indigo LS BSII,Tata,2006,100000,120000,Diesel,Manual,Third Owner
Mahindra Scorpio EX,Mahindra,2013,500000,195000,Diesel,Manual,First Owner
Maruti Wagon R Stingray,Maruti,2013,350000,40000,Petrol,Manual,First Owner
Tata Indica V2 DLS,Tata,2008,100000,40000,Diesel,Manual,First Owner
Tata Safari DICOR 2.2,Tata,2012,325000,120000,Diesel,Manual,First Owner
Maruti Wagon R LXI,Maruti,2012,220000,360003,Petrol,Manual,Second Owner
Maruti 800 AC,Maruti,1999,55000,60000,Petrol,Manual,Second Owner
